IDRSSD,RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,TEXT3552,TEXT3553,TEXT3554,
307679,,,,,,,,,,,,,,10190,0,6913,0,0,2906,2466,0,553,2107,617,0,0,0,Pension Benefits,Lease Liability,,
308256,,,,,,,,,,,,,,343,0,17,0,0,0,0,0,271,55,0,0,0,0,,,,
308340,,,,,,,,,,,,,,1733,0,26,0,0,0,0,0,584,1123,0,0,0,0,,,,
308836,,,,,,,,,,,,,,439,0,1,0,0,0,0,0,153,285,0,0,0,0,,,,
309150,,,,,,,,,,,,,,814,0,147,0,0,128,0,0,175,492,0,0,0,0,Fraudulent Deposit,,,
309655,,,,,,,,,,,,,,14218,0,7193,0,0,0,0,0,2092,3313,1620,0,0,6013,,,,
309851,,,,,,,,,,,,,,151,0,0,0,0,0,0,0,104,40,7,0,0,0,Unfunded Loan Committment Reserve,,,
310754,,,,,,,,,,,,,,19775,0,8803,0,0,0,0,0,175,8234,2563,0,0,5571,,,,
310950,,,,,,,,,,,,,,115,0,8,0,0,0,0,0,107,0,0,0,0,0,,,,
310978,,,,,,,,,,,,,,40031,,16982,0,,,,,1499,20494,1056,,13275,,,,,
311050,,,,,,,,,,,,,,6899,0,1359,0,0,0,0,0,3905,1444,191,1275,0,0,,,,
311144,,,,,,,,,,,,,,62,0,40,0,0,0,0,0,22,0,0,0,0,0,,,,
311256,,,,,,,,,,,,,,1286,0,454,0,0,0,0,0,706,92,34,52,0,0,,,,
311265,,,,,,,,,,,,,,2565,376,687,0,0,164,0,0,468,1334,76,0,0,0,Lease Liability,,,
311603,,,,,,,,,,,,,,9258,0,231,0,0,172,0,0,350,8677,0,0,0,0,DEFERRED OPTION INCOME,,,
311658,,,,,,,,,,,,,,216,0,0,0,0,0,0,0,112,104,0,0,0,0,,,,
311845,,,,,,,,,,,,,,329149,,164881,0,,,,,23658,130402,10208,,,53939,,,,
311939,,,,,,,,,,,,,,3223,0,1212,0,0,0,0,0,1745,266,0,1197,0,0,,,,
312244,,,,,,,,,,,,,,5901,0,1647,0,0,0,0,0,1063,2850,341,957,0,0,,,,
312356,,,,,,,,,,,,,,950,0,111,0,0,0,0,0,766,0,73,0,0,0,,,,
313009,,,,,,,,,,,,,,1000,0,81,0,0,0,0,0,339,580,0,0,0,0,,,,
313157,,,,,,,,,,,,,,421,0,180,0,0,95,0,0,241,0,0,21,0,0,Reserve for Mortgage Loan Escrow,,,
313223,,,,,,,,,,,,,,3905,0,3118,0,1147,0,0,0,398,99,290,1786,0,0,,,,
313577,,,,,,,,,,,,,,14521,0,8181,0,0,0,0,0,1102,5074,164,8181,0,0,,,,
314257,,,,,,,,,,,,,,4500,0,3542,0,0,2000,199,119,406,333,219,0,110,0,Swaps,Reciprical,ITS,
314444,,,,,,,,,,,,,,2986,0,1721,0,1513,0,0,0,1129,16,120,0,0,0,0,,,
315656,,,,,,,,,,,,,,603,0,180,0,0,0,0,0,143,240,40,0,0,40,,,,
316840,,,,,,,,,,,,,,134784,,127057,0,,63429,,,2393,4224,1110,,,32602,Low Income Housing Commitments,,,
316859,,,,,,,,,,,,,,518,0,0,0,0,0,0,0,132,386,0,0,0,0,,,,
316934,,,,,,,,,,,,,,30,0,0,0,0,0,0,0,8,22,0,0,0,0,,,,
317258,,,,,,,,,,,,,,4888,0,1404,0,153,0,0,0,1335,1794,355,1242,0,0,,,,
317342,,,,,,,,,,,,,,278617,,234792,0,,160511,,,1113,36387,6325,,,,Accrued Tax Credit Contributions,,,
317379,,,,,,,,,,,,,,7227,0,4944,0,899,810,527,0,1935,133,215,2212,0,0,Midwest Equity Fund,SRIP Liab,,
317650,,,,,,,,,,,,,,355,0,0,0,0,0,0,0,68,287,0,0,0,0,,,,
318974,,,,,,,,,,,,,,30327,0,17823,0,260,0,0,0,135,11291,1078,5992,2886,7631,,,,
319047,,,,,,,,,,,,,,2600,0,432,0,432,0,0,0,930,1125,113,0,0,0,,,,
319551,,,,,,,,,,,,,,6006,0,3330,0,0,0,0,0,2496,180,0,3035,0,0,,,,
320034,,,,,,,,,,,,,,423,0,15,0,0,0,0,0,305,103,0,0,0,0,,,,
320052,,,,,,,,,,,,,,3304,,46,380,,,,,113,2733,32,,,,Unearned Contracts Signing Bonus,,,
320070,,,,,,,,,,,,,,3560,0,2881,0,0,2082,0,0,201,427,51,0,0,0,Pension Liabilities,,,
320119,,,,,,,,,,,,,,366466,,266215,0,92095,,,,41855,52146,6250,,,135997,,,,
321152,,,,,,,,,,,,,,6711,,5322,0,,,,,397,842,150,,,5322,,,,
321255,,,,,,,,,,,,,,42,,0,0,,,,,8,34,0,,,,,,,
321273,,,,,,,,,,,,,,7890,0,4296,0,0,0,0,0,830,2019,745,1965,0,1873,,,,
321330,,,,,,,,,,,,,,114,0,0,0,0,0,0,0,28,86,0,0,0,0,,,,
321947,,,,,,,,,,,,,,5669,585,1831,0,,8,,,2461,1377,0,1238,,,Investments Payable,,,
322449,,,,,,,,,,,,,,995,0,124,23,0,0,0,0,647,172,29,123,0,0,,,,
322551,,,,,,,,,,,,,,198,52,60,0,0,8,0,0,82,56,0,0,0,0,RESERVE FOR OTHER LOSSES,SBA LOANS,,
323204,,,,,,,,,,,,,,27603,0,20317,0,0,6905,0,0,1708,5578,0,0,0,0,Payable Deferred Benefits,,,
323651,,,,,,,,,,,,,,1508,0,913,0,0,0,0,0,595,0,0,714,0,0,,,,
324153,,,,,,,,,,,,,,1104,0,149,0,0,110,0,0,546,409,0,0,0,0,Right to Use Liability,,,
324229,,,,,,,,,,,,,,209,0,145,0,12,0,0,0,25,39,0,0,0,133,State Tax Payable,Points Holding,Escrow Payable,
324256,,,,,,,,,,,,,,128,0,0,0,0,0,0,0,52,76,0,0,0,0,,,,
324340,,,,,,,,,,,,,,36114,,24943,0,415,,22378,,1008,8678,1485,,,,,MARGIN GOLDMAN SACHS,,
324854,,,,,,,,,,,,,,2034,0,524,0,0,409,0,0,1471,39,0,0,0,0,Accrued Salary Continuation,,,
324863,,,,,,,,,,,,,,8456,,2019,0,,,,,4655,800,982,1782,,,,,,
324975,,,,,,,,,,,,,,1590,0,504,0,0,0,0,0,483,603,0,0,0,1,ATM Settlement,,,
325141,,,,,,,,,,,,,,1117,,0,0,,,,,232,827,58,,,,,,,
325459,,,,,,,,,,,,,,63,0,0,0,0,0,0,0,63,0,0,0,0,0,,,,
325534,,,,,,,,,,,,,,1573,0,344,0,0,0,0,0,654,261,314,305,0,0,,,,
326054,,,,,,,,,,,,,,3240,0,450,0,450,0,0,0,1834,840,116,0,0,0,,,,
326344,,,,,,,,,,,,,,3714,0,2427,0,0,391,825,580,385,659,243,289,0,0,Accrued Employee Benefits,Plan Reserve,Accrued Payroll,
326858,,,,,,,,,,,,,,39488,0,25763,0,0,21191,0,0,2827,10523,375,0,0,0,RIGHT OF USE LIABILITY,,,
326979,,,,,,,,,,,,,,2084,0,1058,0,0,0,0,0,57,840,129,668,0,0,,,,
327220,,,,,,,,,,,,,,735,0,96,0,0,0,0,0,269,370,0,0,0,0,Other Misc Liabilities,,,
327305,,,,,,,,,,,,,,20232,,17947,0,,,,,723,1404,158,4188,9636,,,,,
327435,,,,,,,,,,,,,,9149,0,7328,0,0,0,0,0,393,1266,162,5599,0,0,,,,
327556,,,,,,,,,,,,,,2815,0,303,0,0,303,0,0,1775,737,0,0,0,0,OVERDRAFTS,,,
327855,,,,,,,,,,,,,,14635,0,8761,0,0,1050,0,0,2554,1226,2094,3350,0,0,Mortgage Loan Escrow,,,
328058,,,,,,,,,,,,,,67,,0,0,,,,,28,39,0,,,,,,,
328357,,,,,,,,,,,,,,894,,1,0,,,,,2,839,52,,,,,,,
328656,,,,,,,,,,,,,,728,0,44,0,0,0,0,0,555,129,0,0,0,0,,,,
328777,,,,,,,,,,,,,,30899,,19161,0,,,,,613,8222,2903,7601,,6931,,,,
329149,,,,,,,,,,,,,,1128,0,677,66,0,0,0,0,262,123,0,677,0,0,,,,
329345,,,,,,,,,,,,,,7652,0,3161,0,0,521,0,0,1640,2110,741,2262,183,0,Deferred Loan Fees,,,
329550,,,,,,,,,,,,,,4575,0,2803,0,0,1563,0,0,773,999,0,997,0,0,Lease Right of Use Liability,,,
329952,,,,,,,,,,,,,,4518,,2045,0,,,,,1479,556,438,1540,,439,,,,
330239,,,,,,,,,,,,,,467,0,0,0,0,0,0,0,306,120,41,0,0,0,,,,
330248,,,,,,,,,,,,,,1058,0,539,0,0,0,0,0,137,361,21,539,0,0,,,,
330855,,,,,,,,,,,,,,35061,,9315,0,,,,,9123,15647,976,6464,,,,,,
330873,,,,,,,,,,,,,,2014,,871,0,,,,,605,330,208,,,777,,,,
330949,,,,,,,,,,,,,,2285,0,1077,0,0,0,0,0,706,390,112,520,0,0,,,,
331076,,,,,,,,,,,,,,4899,0,3029,0,2039,0,0,0,546,1057,267,345,0,600,,,,
331375,,,,,,,,,,,,,,1477,0,10,0,0,0,0,0,1086,381,0,0,0,0,,,,
331544,,,,,,,,,,,,,,327,0,0,0,0,0,0,0,168,159,0,0,0,0,,,,
331713,,,,,,,,,,,,,,7610,0,2708,0,0,0,0,0,3580,423,899,2707,0,0,,,,
332224,,,,,,,,,,,,,,6221,0,4588,0,0,1397,945,0,503,792,338,0,0,1203,SERP PLAN,DEFERRED GRANT REVENUE,,
332345,,,,,,,,,,,,,,124,0,0,0,0,0,0,0,41,83,0,0,0,0,,,,
332671,,,,,,,,,,,,,,3044,0,2595,0,0,0,0,0,3,446,0,2595,0,0,,,,
332756,,,,,,,,,,,,,,131,0,0,0,0,0,0,0,127,4,0,0,0,0,,,,
333034,,,,,,,,,,,,,,2018,0,446,0,0,408,0,0,580,492,500,0,0,0,Escrow reserve,,,
333203,,,,,,,,,,,,,,13624,,7644,0,,3218,,,1234,3671,1075,,,2545,Affordable Housing Investment Payable,,,
333650,,,,,,,,,,,,,,1240,0,194,0,0,0,0,0,998,48,0,0,0,0,FIS Settlement,Liabilities assumed in merger,,
333856,,,,,,,,,,,,,,2472,,8,0,,8,,,240,1824,400,,,,PARTICIPATION PAYABLE,,,
333940,,,,,,,,,,,,,,288,,0,0,,,,,90,194,4,,,,,,,
334264,,,,,,,,,,,,,,7802,0,1452,0,217,0,626,0,1668,4432,250,0,0,0,,REAL ESTATE ESCROW,,
335346,,,,,,,,,,,,,,2938,0,1946,0,0,0,0,0,554,375,63,0,0,1892,,,,
336147,,,,,,,,,,,,,,706,0,144,0,0,0,0,0,365,23,174,0,0,0,,,,
336361,,,,,,,,,,,,,,1293,0,0,507,0,0,0,0,421,365,0,0,0,0,,,,
336576,,,,,,,,,,,,,,2263,0,695,0,8,0,0,0,1102,443,23,0,0,527,,,,
337340,,,,,,,,,,,,,,631,0,11,0,0,0,0,0,365,242,13,0,0,0,,,,
338646,,,,,,,,,,,,,,6073,0,1334,0,0,0,0,0,1652,2599,488,0,0,962,,,,
338945,,,,,,,,,,,,,,493,0,3,0,0,0,0,0,161,286,43,0,0,0,,,,
339072,,,,,,,,,,,,,,10072,,2281,0,651,1287,,,461,6566,764,,,,Deferred Revenue,,,
339353,,,,,,,,,,,,,,420,0,71,0,0,0,0,0,137,212,0,0,0,0,,,,
339456,,,,,,,,,,,,,,4590,,1607,0,,,,,1967,1016,0,,,1535,,,,
339607,,,,,,,,,,,,,,15456,0,10290,0,0,0,0,0,704,3999,463,0,0,6501,,,,
339773,,,,,,,,,,,,,,84114,,65512,0,,,,,6407,6404,5791,21304,29298,,,,,
339858,,,,,,,,,,,,,,1095322,0,766438,0,0,0,0,291800,12905,270574,45405,0,0,208770,,,Payables from Unsettled Trading securities transactions,
340135,,,,,,,,,,,,,,16583,,11709,0,,,,,767,2591,1516,9123,,,,,,
340144,,,,,,,,,,,,,,12127,0,5992,0,0,0,0,0,1027,4631,477,5992,0,0,,,,
340256,,,,,,,,,,,,,,7477,0,5111,0,0,0,0,0,1401,965,0,489,0,3249,,,,
340443,,,,,,,,,,,,,,1424,0,714,48,0,0,0,0,178,479,5,710,0,0,',,,
340742,,,,,,,,,,,,,,15107,,9397,0,,,,,2018,3404,288,,94,8774,,,,
340751,,,,,,,,,,,,,,7366,0,3272,0,0,0,0,0,3418,676,0,2666,0,0,,,,
341310,,,,,,,,,,,,,,8146,0,5819,0,0,0,0,0,51,1763,513,4219,0,668,,,,
342054,,,,,,,,,,,,,,1970,0,999,0,0,584,0,0,199,613,159,0,0,0,Debit Card Settlement Clearing,,,
342362,,,,,,,,,,,,,,11072,,2307,0,89,,,,6556,1919,290,2047,,75,,,,
342410,,,,,,,,,,,,,,42713,,33912,0,,,,,1060,6131,1610,20101,,11189,,,,
342634,,,,,,,,,,,,,,234448,,163396,0,,,,,14594,26193,30265,87961,,,,,,
343051,,,,,,,,,,,,,,569,0,538,0,0,0,0,0,26,0,5,533,0,0,,,,
343248,,,,,,,,,,,,,,128,,0,0,,,,,75,53,0,,,,,,,
343770,,,,,,,,,,,,,,367,0,24,0,0,0,0,0,81,237,25,0,0,0,,,,
343903,,,,,,,,,,,,,,7408,0,5096,0,664,546,0,0,455,1857,0,2506,0,587,Non-Qualified Pension Liability,,,
343958,,,,,,,,,,,,,,621,0,0,196,0,0,0,0,271,154,0,0,0,0,,,,
344647,,,,,,,,,,,,,,4865,,2481,0,1266,841,,,1995,389,0,374,,,Deferred Incentive Comp,,,
344852,,,,,,,,,,,,,,769,0,462,0,0,462,0,0,177,130,0,0,0,0,ACC LIAB EXEC RETIREMENT PLAN,,,
345309,,,,,,,,,,,,,,30264,,4303,0,,,,,211,25652,98,2855,,,,,,
345345,,,,,,,,,,,,,,2446,,310,197,,,,,1728,186,25,,,,atm settlement,,,
345747,,,,,,,,,,,,,,6693,,1702,0,,,,,1164,3617,210,1702,,,,,,
345756,,,,,,,,,,,,,,8753,,5789,0,4428,,,,894,2029,41,787,,574,,,,
345877,,,,,,,,,,,,,,5885,0,4897,0,0,0,0,0,99,889,0,4303,0,0,,,,
346379,,,,,,,,,,,,,,1661,0,91,356,0,0,0,0,514,600,100,90,0,0,,,,
346566,,,,,,,,,,,,,,140,0,57,0,0,0,0,0,16,67,0,0,0,0,,,,
346771,,,,,,,,,,,,,,2899,0,2287,0,0,1553,0,0,0,551,61,654,0,0,Post Retirement Obligation,,,
347022,,,,,,,,,,,,,,1229,0,2,0,0,0,0,0,317,870,40,0,0,0,,,,
347639,,,,,,,,,,,,,,3926,0,2126,0,3,0,0,0,267,1533,0,0,0,2053,,,,
347956,,,,,,,,,,,,,,19504,,16170,0,,,,,485,2130,719,,8040,8130,,,,
348159,,,,,,,,,,,,,,1718,0,0,0,0,0,0,0,242,1476,0,0,0,0,,,,
348720,,,,,,,,,,,,,,8014,0,4098,0,0,1597,0,0,163,2953,800,1403,0,0,Fmis accrued retirement,,,
349129,,,,,,,,,,,,,,1139,0,0,0,0,0,0,0,383,756,0,0,0,0,,,,
349343,,,,,,,,,,,,,,407,0,28,0,0,0,0,0,217,92,70,0,0,0,,,,
350572,,,,,,,,,,,,,,1741,0,1155,0,0,0,0,0,396,190,0,0,0,0,,,,
350657,,,,,,,,,,,,,,105,0,15,0,0,0,0,0,49,41,0,0,0,0,,,,
350750,,,,,,,,,,,,,,1318,0,126,0,0,0,0,0,953,239,0,0,0,0,,,,
351131,,,,,,,,,,,,,,40,,0,0,,,,,26,0,14,,,,,,,
351560,,,,,,,,,,,,,,9025,0,8033,0,0,875,1333,0,363,329,300,5462,0,0,Reserve for Profit Sharing and Bonus,Lease Liability,,
351878,,,,,,,,,,,,,,200,0,16,0,0,0,0,0,0,184,0,0,0,0,,,,
352370,,,,,,,,,,,,,,1765,0,972,0,0,0,0,0,301,486,6,949,0,0,,,,
352651,,,,,,,,,,,,,,10834,0,10598,0,0,521,0,0,132,104,0,0,0,0,deferred orig fee,Distribution Payable,,
352745,,,,,,,,,,,,,,1605,0,132,0,0,127,0,0,520,800,153,0,0,0,Unearned Incentive Income,,,
352772,,,,,,,,,,,,,,318838,,243626,0,,94449,,,16363,44822,14027,,,,Unfunded investment commitments,,,
353238,,,,,,,,,,,,,,5190,0,4489,0,3,628,0,0,548,53,100,3777,0,0,unearned fees,,,
353546,,,,,,,,,,,,,,729,0,528,0,0,0,131,0,201,0,0,200,0,0,Bonus Payable,BOLI DCIP Payable,,
353555,,,,,,,,,,,,,,80667,,8258,0,,,,,32187,36422,3800,,,5132,,,,
353957,,,,,,,,,,,,,,135,0,23,0,23,0,0,0,112,0,0,0,0,0,,,,
354057,,,,,,,,,,,,,,810,0,155,0,39,0,0,0,469,185,1,94,0,0,,,,
354253,,,,,,,,,,,,,,608,0,484,0,0,0,0,0,124,0,0,484,0,0,,,,
354310,,,,,,,,,,,,,,89714,,51583,0,,,,,18388,16605,3138,,,33014,,,,
354552,,,,,,,,,,,,,,5393,0,2101,0,0,1838,0,0,1509,1560,223,0,0,0,IRA Unearned Revenue,,,
354851,,,,,,,,,,,,,,388,0,8,0,0,0,0,0,229,110,41,6,0,0,,,,
355120,,,,,,,,,,,,,,6266,0,4743,0,0,0,0,0,964,559,0,0,0,0,,,,
355559,,,,,,,,,,,,,,2957,0,1330,0,0,0,0,0,527,1100,0,1264,0,0,,,,
355858,,,,,,,,,,,,,,25806,,5394,0,,4036,,,1684,17779,949,1358,,,Accr Long Term Employee Benefits,Deferred Compensation,,
356239,,,,,,,,,,,,,,1633,0,982,0,0,0,0,0,313,338,0,973,0,0,,,,
356659,,,,,,,,,,,,,,574,0,0,0,0,0,0,0,402,172,0,0,0,0,,,,
356752,,,,,,,,,,,,,,1102,0,38,0,30,0,0,0,415,576,73,0,0,0,,,,
357526,,,,,,,,,,,,,,2713,0,918,0,193,0,0,0,270,1525,0,0,0,0,,,,
357553,,,,,,,,,,,,,,1029,0,0,0,0,0,0,0,829,200,0,0,0,0,,,,
357777,,,,,,,,,,,,,,1294,0,897,0,0,0,0,0,8,253,136,897,0,0,,,,
357937,,,,,,,,,,,,,,5299,0,3935,0,0,0,0,0,837,527,0,3360,0,0,,,,
358112,,,,,,,,,,,,,,3741,0,2667,0,0,0,0,0,342,732,0,2664,0,0,,,,
358448,,,,,,,,,,,,,,111,0,0,0,0,0,0,0,33,61,17,0,0,0,,,,
358756,,,,,,,,,,,,,,284,0,147,37,0,0,0,0,100,0,0,147,0,0,,,,
359472,,,,,,,,,,,,,,69,0,10,0,0,0,0,0,4,55,0,0,0,0,FDIC DEPOSIT ACCTS,,,
359744,,,,,,,,,,,,,,703,0,0,0,0,0,0,0,262,436,5,0,0,0,,,,
360777,,,,,,,,,,,,,,66,,2,0,,,,,30,34,0,,,,,,,
361055,,,,,,,,,,,,,,9029,0,2800,0,0,0,0,0,598,5274,357,0,0,2736,,,,
361167,,,,,,,,,,,,,,145668,,119602,0,,54354,,,6368,16490,3208,,,,Securities purchased not paid,,,
361279,,,,,,,,,,,,,,3860,0,245,0,0,0,0,0,2361,1129,125,0,0,0,,,,
361354,,,,,,,,,,,,,,355,0,0,0,0,0,0,0,235,108,12,0,0,0,,,,
361439,,,,,,,,,,,,,,3640,,302,0,183,,,,1990,1251,97,119,,,,,,
362043,,,,,,,,,,,,,,214,0,0,0,0,0,0,0,96,67,51,0,0,0,,,,
362155,,,,,,,,,,,,,,429,0,0,0,0,0,0,0,129,192,108,0,0,0,,,,
362717,,,,,,,,,,,,,,5975,1196,1477,0,,,,,1740,2482,276,,,244,,,,
362856,,,,,,,,,,,,,,273,0,77,0,0,0,0,0,50,137,9,77,0,0,,,,
362940,,,,,,,,,,,,,,160,0,50,0,0,0,0,0,110,0,0,23,0,0,,,,
363442,,,,,,,,,,,,,,35,0,4,0,0,0,0,0,31,0,0,0,0,0,,,,
363648,,,,,,,,,,,,,,704,0,27,0,0,0,0,0,389,274,14,0,0,0,,,,
363657,,,,,,,,,,,,,,4675,,0,0,,,,,2147,2528,0,,,,,,,
363778,,,,,,,,,,,,,,162,0,49,13,19,0,0,0,65,35,0,30,0,0,,,,
364131,,,,,,,,,,,,,,5165,0,4544,0,0,517,2278,1216,584,0,37,0,0,0,NON QUALIFIED PENSION,LEASE LIABILITY,ICS INCLEARING,
364270,2636,0,1024,0,221,0,0,0,1598,5,0,0,408,,,,,,,,,9,,,,,,,,,
364430,,,,,,,,,,,,,,1549,0,307,0,0,0,0,0,1006,236,0,0,0,0,,,,
364850,,,,,,,,,,,,,,870,,733,0,,119,,,133,4,0,539,,,Reserve for High Deductible,,,
365325,,,,,,,,,,,,,,250830,,133242,0,,,,,21032,55817,40739,,,89308,,,,
365745,,,,,,,,,,,,,,2008,0,66,0,0,0,0,0,552,1204,186,0,0,0,,,,
365848,,,,,,,,,,,,,,309,0,58,0,0,0,0,0,92,159,0,0,0,0,Accounts payable,,,
365950,,,,,,,,,,,,,,696,0,0,0,0,0,0,0,256,351,89,0,0,0,,,,
366078,,,,,,,,,,,,,,8691,0,3351,0,969,0,0,0,1781,3198,361,2174,0,0,,,,
366238,,,,,,,,,,,,,,18335,,8079,0,7,365,,,5034,4427,795,1253,,3826,Deferred Director Fees,,,
366247,,,,,,,,,,,,,,825,0,30,239,0,0,0,0,556,0,0,0,0,0,,,,
366359,,,,,,,,,,,,,,304,0,126,0,0,0,0,0,63,115,0,0,0,0,,,,
366658,,,,,,,,,,,,,,415,0,0,23,0,0,0,0,262,122,8,0,0,0,,,,
366854,,,,,,,,,,,,,,851,,173,0,,,,,115,453,110,,,172,,,,
367150,,,,,,,,,,,,,,175,0,13,0,0,0,0,0,142,20,0,0,0,0,,,,
367178,,,,,,,,,,,,,,1416,0,1024,0,0,0,0,0,42,350,0,1020,0,0,,,,
367431,,,,,,,,,,,,,,1025,0,390,0,0,0,0,0,131,504,0,0,0,0,,,,
367543,,,,,,,,,,,,,,1041,0,0,0,0,0,0,0,516,525,0,0,0,0,,,,
368054,,,,,,,,,,,,,,549,0,0,0,0,0,0,0,278,224,47,0,0,0,,,,
368344,,,,,,,,,,,,,,1463,,0,0,,,,,354,1109,0,,,,,,,
368522,,,,,,,,,,,,,,5130,0,3219,0,1096,0,0,0,132,1738,41,2119,0,0,,,,
368933,,,,,,,,,,,,,,571,0,289,0,0,0,0,0,84,198,0,0,0,0,,,,
368951,,,,,,,,,,,,,,672,0,93,0,0,0,0,0,281,292,6,0,0,0,,,,
369453,,,,,,,,,,,,,,1131,0,75,0,75,0,0,0,813,193,50,0,0,0,,,,
369659,,,,,,,,,,,,,,11792,0,6831,0,0,0,0,0,1319,2272,1370,6831,0,0,UNEARNED REVENUE--PPP LOAN FEES,,,
370020,,,,,,,,,,,,,,8785,0,5445,0,0,0,0,0,602,2726,12,3446,0,0,,,,
370347,,,,,,,,,,,,,,301,0,0,0,0,0,0,0,185,116,0,0,0,0,,,,
370721,,,,,,,,,,,,,,675,,0,0,,,,,671,0,4,,,,,,,
370833,,,,,,,,,,,,,,1475,0,854,0,0,0,0,0,167,424,30,0,0,678,,,,
370954,,,,,,,,,,,,,,377,0,66,0,0,0,0,0,142,169,0,0,0,0,,,,
371223,,,,,,,,,,,,,,3088,0,1122,0,0,1122,0,0,487,1479,0,0,0,0,LIHTC,,,
371232,,,,,,,,,,,,,,3862,0,3334,0,0,0,0,0,160,368,0,3334,0,0,,,,
371362,,,,,,,,,,,,,,10035,0,6627,0,0,0,0,0,2740,668,0,6627,0,0,,,,
371559,,,,,,,,,,,,,,353,0,93,0,0,0,0,0,260,0,0,0,0,0,,,,
371755,,,,,,,,,,,,,,48,,0,0,,,,,33,15,0,,,,,,,
371849,,,,,,,,,,,,,,724,0,401,0,0,0,0,0,137,186,0,399,0,0,,,,
371924,,,,,,,,,,,,,,33141,0,25939,0,0,290,0,0,2702,3943,557,0,345,2663,Syndicated Loans in Process,,,
371942,,,,,,,,,,,,,,2076,0,1731,0,0,500,0,0,233,112,0,1227,0,0,Due to Affliliate,,,
372444,,,,,,,,,,,,,,1058,0,620,0,0,0,350,0,316,96,26,184,0,0,SHAZAM DAILY SETTLEMENT & CARDHOLDER,ESCROW PAYABLE FHLMC/RURAL,,
372538,,,,,,,,,,,,,,7540,0,46,0,0,0,0,0,4979,1325,1190,0,0,0,,,,
372640,,,,,,,,,,,,,,1554,0,1403,0,441,0,0,0,56,95,0,962,0,0,,,,
372855,,,,,,,,,,,,,,1633,,69,0,,,,,1082,248,234,,,,,,,
373272,,,,,,,,,,,,,,143,0,125,0,0,0,0,0,10,8,0,0,0,0,,,,
373553,,,,,,,,,,,,,,1045,0,814,0,0,0,0,0,221,10,0,814,0,0,,,,
373601,,,,,,,,,,,,,,3930,,1537,0,,457,,,1734,607,52,,,,Other Liabilities,,,
374130,,,,,,,,,,,,,,783,0,0,0,0,0,0,0,287,392,104,0,0,0,,,,
374653,,,,,,,,,,,,,,58132,,42071,0,,,,,5368,9693,1000,,,31539,,,,
374774,,,,,,,,,,,,,,287,0,0,0,0,0,0,0,42,245,0,0,0,0,,,,
375043,,,,,,,,,,,,,,10774,,3548,0,,,,,1597,5029,600,,,3345,,,,
375379,,,,,,,,,,,,,,217,0,60,0,0,0,0,0,0,157,0,0,0,0,,,,
375502,,,,,,,,,,,,,,18201,0,12501,0,0,7788,0,0,166,5258,276,0,0,4118,ESOP Payable,,,
375566,,,,,,,,,,,,,,19418,0,12689,0,0,0,0,0,2472,2411,1846,4342,0,8079,,,,
375650,,,,,,,,,,,,,,101,0,0,0,0,0,0,0,17,84,0,0,0,0,,,,
376237,,,,,,,,,,,,,,786,0,378,0,0,0,0,0,108,300,0,0,0,0,Lease Liability - Branch Building,,,
376273,,,,,,,,,,,,,,26233,,21623,0,,,,,74,4419,117,13857,,,,,,
376442,,,,,,,,,,,,,,3975,,1643,0,,,,,1667,665,0,1580,,,,,,
376947,,,,,,,,,,,,,,564,0,0,0,0,0,0,0,319,245,0,0,0,0,,,,
377663,,,,,,,,,,,,,,1495,,956,0,,,,,325,214,0,783,,,,,,
377850,,,,,,,,,,,,,,331,0,0,0,0,0,0,0,226,105,0,0,0,0,,,,
378044,,,,,,,,,,,,,,130,0,56,0,0,0,0,0,70,4,0,0,0,0,,,,
378110,,,,,,,,,,,,,,318,0,180,0,0,0,0,0,66,70,2,0,0,0,,,,
379050,,,,,,,,,,,,,,123,0,4,0,0,0,0,0,102,17,0,4,0,0,Deferred Fee Income,,,
379153,,,,,,,,,,,,,,609,0,0,0,0,0,0,0,238,336,35,0,0,0,,,,
379470,,,,,,,,,,,,,,354,0,77,0,0,0,0,0,0,277,0,0,0,0,,,,
379649,,,,,,,,,,,,,,2912,,2113,0,,,,,713,86,0,2113,,,,,,
379920,,,,,,,,,,,,,,576837,,374956,0,,,,,38999,140670,22212,,,174231,,,,
380346,,,,,,,,,,,,,,622,0,0,0,0,0,0,0,348,232,42,0,0,0,OTHER,Fed and State W/H,Loan settlement account,
380458,,,,,,,,,,,,,,27422,0,17120,0,367,84,0,0,3057,6418,827,0,0,0,DUE TO TSBI,,,
380533,,,,,,,,,,,,,,2110,0,437,0,0,437,0,0,843,830,0,0,0,0,escrow deposits,,,
380878,,,,,,,,,,,,,,3208,0,1981,0,0,0,0,0,235,816,176,0,0,1443,,,,
380944,,,,,,,,,,,,,,1351,0,502,0,0,502,0,0,284,482,83,0,0,0,Sub-S Effect,,,
381026,,,,,,,,,,,,,,607,,0,0,,,,,391,216,0,,,,,,,
381932,,,,,,,,,,,,,,3331,0,2637,0,0,267,172,439,75,619,0,167,0,0,ACCD BONUSES,ACCD PROFIT SHARE,ACCD,
