IDRSSD,RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDB556,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,TEXT3549,TEXT3550,TEXT3551,
382854,,,,,,,,,,,,,,,,,,,61,240,405,4558,219,317,,,,1130,,2,7,,0,2466,0,0,,,,
384018,,,,,,,,,,,,,,,,,,,0,2947,12340,58861,3684,6030,0,0,0,13005,0,0,2030,0,0,24539,0,0,,,,
384278,,,,,,,,,,,,,,,,,,,,18240,16142,211698,6718,118705,,,,21486,26186,,45102,,0,15300,11578,10247,,,,
384353,,,,,,,,,,,,,,,,,,,0,39,12,580,48,48,0,0,0,158,0,0,0,0,0,323,0,0,,,,
384652,,,,,,,,,,,,,,,,,,,0,7271,7261,45077,1035,1998,0,0,0,3299,0,0,0,0,0,25248,0,0,,,,
384830,,,,,,,,,,,,,,,,,,,0,325,1004,2892,323,333,0,0,0,562,0,0,0,0,0,668,0,0,,,,
385350,,,,,,,,,,,,,,,,,,,0,498,0,5136,0,265,0,0,0,788,0,0,0,0,0,3585,0,0,,,,
385471,,,,,,,,,,,,,,,,,,,0,7863,1334,25446,424,540,0,0,0,6065,0,0,0,0,0,7671,0,1973,,,,
385547,,,,,,,,,,,,,,,,,,,0,319,422,8571,0,63,0,0,0,1396,0,0,0,0,0,5804,0,567,,,,
385686,,,,,,,,,,,,,,,,,,,0,777,3008,17523,0,98,0,0,0,968,0,0,0,0,0,11319,1353,0,,,,
386432,,,,,,,,,,,,,,,,,,,0,132,521,3190,218,1414,0,0,0,1123,0,0,0,0,0,0,0,0,loan clearing,,,
386450,,,,,,,,,,,,,,,,,,,,4333,668,24043,419,1884,1390,74,,3818,,,,,0,13340,0,0,Midwest Housing,Fiserv Reserve Account,,
386731,,,,,,,,,,,,,,,,,,,0,2409,1578,13132,0,564,0,0,0,2557,0,151,0,0,0,6024,0,0,,,,
386825,,,,,,,,,,,,,,,,,,,0,281,1305,3585,172,224,0,0,0,398,0,0,0,0,0,1377,0,0,,,,
387055,,,,,,,,,,,,,,,,,,,0,186,711,5558,87,178,0,0,0,1233,0,9,0,0,0,3250,0,0,,,,
387671,,,,,,,,,,,,,,,,,,,1400,3490,2953,28037,2071,3790,0,0,0,2097,0,0,0,0,0,15707,0,0,,,,
388155,,,,,,,,,,,,,,,,,,,0,506,1888,4305,208,346,0,0,0,1291,0,0,0,0,0,274,0,0,,,,
388258,,,,,,,,,,,,,,,,,,,0,288,421,1057,40,40,0,0,0,308,0,0,0,0,0,0,0,0,,,,
388557,,,,,,,,,,,,,,,,,,,0,949,0,5629,875,1625,0,0,0,3055,0,0,656,0,0,0,0,0,,,,
388744,,,,,,,,,,,,,,,,,,,0,471,1008,10034,565,573,0,0,0,658,0,0,0,0,0,7324,0,0,,,,
388753,,,,,,,,,,,,,,,,,,,0,50,60,623,0,48,0,0,0,465,0,0,0,0,0,0,0,0,,,,
388874,,,,,,,,,,,,,,,,,,,0,423,78,1586,170,272,0,0,0,333,0,0,64,0,0,480,0,0,,,,
389358,,,,,,,,,,,,,,,,,,,0,122,0,5031,249,349,100,0,0,4560,0,0,0,0,0,0,0,0,Trust,Tenant Lease Income,,
389376,,,,,,,,,,,,,,,,,,,0,312,394,4077,182,233,2,0,0,236,0,0,48,0,0,2902,0,0,COIN COLLECTION,FFCRA CREDITS DUE FROM IRS,,
389826,,,,,,,,,,,,,,,,,,,0,58,342,1563,0,233,0,0,0,124,0,0,0,0,0,398,0,408,,,,
390372,,,,,,,,,,,,,,,,,,,0,2315,3268,7741,313,704,0,0,0,1454,0,0,0,0,0,0,0,0,,,,
390840,,,,,,,,,,,,,,,,,,,0,1445,1380,13018,518,3635,0,0,0,1338,0,0,0,0,0,3137,0,2083,,,,
391418,,,,,,,,,,,,,,,,,,,0,282,9250,18062,2239,7447,5097,0,0,1083,0,0,0,0,0,0,0,0,Prepaid Dealer Interest,,,
391557,,,,,,,,,,,,,,,,,,,0,96,279,1839,63,63,0,0,0,318,0,0,0,0,0,1083,0,0,,,,
391575,,22386,0,229914,,174012,,108410,,19081,,,,,0,13536,0,899,,22386,,,,,,,,,,,,,,,,,,Development & Construction Mgmt Fee Receivable,,
391959,,,,,,,,,,,,,,,,,,,0,665,0,1794,239,239,0,0,0,890,0,0,0,0,0,0,0,0,,,,
391977,,,,,,,,,,,,,,,,,,,0,2713,18585,55453,1565,2644,0,0,0,4779,0,0,0,0,0,23479,0,3253,,,,
392152,,,,,,,,,,,,,,,,,,,0,424,0,892,41,44,0,0,0,424,0,0,0,0,0,0,0,0,,,,
392255,,,,,,,,,,,,,,,,,,,0,256,0,1835,123,123,0,0,0,805,0,0,0,0,0,651,0,0,,,,
392778,,,,,,,,,,,,,,,,,,,0,1984,16907,42716,4683,4751,0,0,0,1903,0,0,68,0,0,16080,0,1091,,,,
393252,,,,,,,,,,,,,,,,,,,0,96,0,2233,0,36,0,0,0,2101,0,0,0,0,0,0,0,0,,,,
393355,,,,,,,,,,,,,,,,,,,,331,780,2338,289,408,114,,,819,,,,,0,0,0,0,INTEREST PURCHASED ON SECURITIES,,,
393953,,,,,,,,,,,,,,,,,,,0,1502,8807,17278,1203,3393,1532,658,0,3576,0,0,0,0,0,0,0,0,Preferred Stock,Misc.,,
394156,,,,,,,,,,,,,,,,,,,11,1224,0,8902,266,2239,1414,0,0,2418,0,0,0,0,0,3021,0,0,Other Assets,Prin Recv Securities,,
394259,,,,,,,,,,,,,,,,,,,,2983,1217,13886,117,1030,29,,,5534,884,,,,0,3122,0,0,Promontory Rate Bridge,,,
395238,,,,,,,,,,,,,,,,,,,,213711,506252,3305904,,1183275,597520,,,284604,,,373487,,0,928763,0,189299,Investments in Tax Credit Partnerships,,,
396057,,,,,,,,,,,,,,,,,,,0,184,712,1654,117,146,0,0,0,612,0,0,0,0,0,0,0,0,,,,
396244,,,,,,,,,,,,,,,,,,,14,2744,4668,22286,21,121,,,,2931,,,,,0,6361,0,5461,,,,
396253,,,,,,,,,,,,,,,,,,,22,10539,2628,37493,5019,6279,180,0,0,4560,0,0,656,0,0,13487,0,0,SWAP ASSET,,,
396954,,,,,,,,,,,,,,,,,,,0,553,0,10276,138,402,182,0,0,2531,0,0,0,0,0,6790,0,0,LOAN PREMIUM,,,
397456,,,,,,,,,,,,,,,,,,,,687,0,1743,195,425,,,,631,,214,,,0,0,0,0,,,,
397531,,,,,,,,,,,,,,,,,,,0,2238,3920,38077,7400,18928,6102,0,0,2612,0,0,0,0,0,10379,0,0,DIRECTORS AND OFFICERS DEFERRED,,,
397540,,,,,,,,,,,,,,,,,,,,8149,5520,86458,,16583,1000,,,9696,8013,,,,0,31054,0,15456,cetera fixed annuitites,,,
397559,,,,,,,,,,,,,,,,,,,0,3194,0,7659,1543,1546,0,0,0,2919,0,0,0,0,0,0,0,0,,,,
397755,,,,,,,,,,,,,,,,,,,0,12033,6176,46617,2869,5633,0,0,0,8163,0,0,0,0,0,14612,0,0,,,,
397858,,,,,,,,,,,,,,,,,,,0,0,217,861,0,166,0,0,0,478,0,0,0,0,0,0,0,0,,,,
398051,,,,,,,,,,,,,,,,,,,,1035,63,5797,222,222,,,,1046,,,,,0,3431,0,0,,,,
398248,,,,,,,,,,,,,,,,,,,,2039,0,13503,10369,10386,,,,1078,,,,,0,0,0,0,,,,
398668,0,3231,0,103122,0,99698,0,0,0,193,0,0,97552,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
398837,,,,,,,,,,,,,,,,,,,0,2162,688,10993,275,280,0,0,0,1151,0,0,0,0,0,6712,0,0,,,,
399357,,,,,,,,,,,,,,,,,,,0,125,177,2222,286,329,0,0,0,1591,0,0,0,0,0,0,0,0,,,,
399517,,,,,,,,,,,,,,,,,,,,5069,23433,231807,,62121,,28141,,25165,,,10957,,0,106543,235,9241,,"Investment in SBIC, Community Development Entities and Tax Credit Projects",,
399731,,,,,,,,,,,,,,,,,,,,0,614,4110,220,2783,250,1420,,713,,,,,0,0,0,0,Stock Purchased From FNBB,BOLI Investments,,
399973,,,,,,,,,,,,,,,,,,,0,1202,905,3084,128,209,0,0,0,768,0,0,0,0,0,0,0,0,,,,
400057,,,,,,,,,,,,,,,,,,,0,204,0,6085,297,392,41,0,0,1750,0,33,0,0,0,3739,0,0,Prepaid CD Broker Fee,,,
400141,,,,,,,,,,,,,,,,,,,0,1247,5585,12256,1041,2382,0,0,0,3042,0,189,0,0,0,0,0,0,,,,
400365,,,,,,,,,,,,,,,,,,,0,1755,0,12480,248,711,0,0,0,1368,0,0,324,0,0,8096,550,0,,,,
400767,,,,,,,,,,,,,,,,,,,0,60,1616,6469,598,692,0,0,0,667,0,0,0,0,0,3434,0,0,,,,
401072,,,,,,,,,,,,,,,,,,,0,249,1756,2579,0,389,0,0,0,185,0,0,0,0,0,0,0,0,,,,
401559,,,,,,,,,,,,,,,,,,,0,361,43,4323,199,540,0,0,0,638,0,0,230,0,0,2741,0,0,Tax Increment Financing Asset,Claim on Directors' Life Insurance,,
401755,,,,,,,,,,,,,,,,,,,0,316,0,5803,212,248,0,0,0,2445,0,0,0,0,0,2794,0,0,,,,
401906,,,,,,,,,,,,,,,,,,,0,804,5596,25494,708,708,0,0,0,2029,0,0,0,0,0,16357,0,0,Other Investments,,,
401951,,,,,,,,,,,,,,,,,,,0,362,175,1799,301,301,0,0,0,364,0,0,0,0,0,597,0,0,,,,
402846,,,,,,,,,,,,,,,,,,,0,0,0,1873,0,19,0,0,0,1230,0,0,0,0,0,624,0,0,,,,
402873,,,,,,,,,,,,,,,,,,,0,153,444,837,0,104,0,0,0,136,0,0,0,0,0,0,0,0,,,,
403067,,,,,,,,,,,,,,,,,,,0,1431,0,6774,232,285,0,0,0,572,0,0,0,0,0,4486,0,0,,,,
403151,,,,,,,,,,,,,,,,,,,,14568,0,56092,6837,14514,,,,26113,,,,,0,897,0,0,,,,
403179,,,,,,,,,,,,,,,,,,,0,19781,12657,102520,7349,19933,4564,0,0,9036,1318,0,0,0,0,34916,6197,0,Low Income Housing Tax Credit Investment,,,
403254,,,,,,,,,,,,,,,,,,,0,399,0,2146,0,330,0,0,0,36,0,122,121,0,0,1381,0,0,,,,
403656,,,,,,,,,,,,,,,,,,,0,53,0,1327,41,602,559,2,0,672,0,0,0,0,0,0,0,0,INCOME TAX-PAY-DEF-UNREALIZED,AGENCY ACCTS REC,,
403870,,,,,,,,,,,,,,,,,,,0,4499,10483,36154,749,2823,0,0,0,3457,0,0,1688,0,0,14892,0,0,0,,,
403946,,,,,,,,,,,,,,,,,,,0,8742,6300,28929,2007,3653,0,0,0,4238,0,0,0,0,0,5996,0,0,,,,
404653,,,,,,,,,,,,,,,,,,,0,1988,726,6649,271,1116,0,0,0,1961,0,0,0,0,0,406,0,452,,,,
404943,,,,,,,,,,,,,,,,,,,0,241,1026,2381,96,96,0,0,0,1018,0,0,0,0,0,0,0,0,,,,
406022,,,,,,,,,,,,,,,,,,,0,356,5497,14964,476,826,0,0,0,1196,0,0,0,0,0,7089,0,0,,,,
406059,,,,,,,,,,,,,,,,,,,19,1156,1111,4680,283,341,0,0,0,2072,0,35,0,0,0,0,0,0,,,,
406666,,,,,,,,,,,,,,,,,,,0,366,0,2582,66,81,0,0,0,2135,0,0,0,0,0,0,0,0,,,,
406974,,,,,,,,,,,,,,,,,,,0,626,0,9782,0,278,0,0,0,1062,0,156,0,0,0,7816,0,0,,,,
407168,,,,,,,,,,,,,,,,,,,0,1359,0,4223,0,1221,835,0,0,1495,0,0,0,0,0,148,0,0,CASH IN OFFSITE VAULTS,,,
407506,,,,,,,,,,,,,,,,,,,0,4335,8827,94167,0,45441,26963,0,0,13188,0,0,0,0,0,22376,0,0,Pension Asset,,,
407645,,,,,,,,,,,,,,,,,,,0,937,0,5432,800,1045,0,0,0,3450,0,0,0,0,0,0,0,0,,,,
407850,,,,,,,,,,,,,,,,,,,0,131,0,466,0,42,0,0,0,293,0,0,0,0,0,0,0,0,,,,
408307,,,,,,,,,,,,,,,,,,,,2106,3259,21773,470,1093,,400,,1889,,,,,0,13426,0,0,Loan Operations Receivable,FiServ EFT Deposit,,
408642,,,,,,,,,,,,,,,,,,,0,17159,5158,70668,0,10767,0,0,0,5576,0,0,2724,0,0,29758,0,2250,,,,
408875,,,,,,,,,,,,,,,,,,,0,3132,5274,26304,1781,13413,3608,0,0,4485,413,1817,4532,0,0,0,0,0,Assets held for sale,,,
409265,,,,,,,,,,,,,,,,,,,0,67,85,867,22,113,0,0,0,602,0,17,0,0,0,0,0,0,,,,
410159,,,,,,,,,,,,,,,,,,,0,0,50,290,0,28,0,0,0,212,0,0,0,0,0,0,0,0,,,,
410560,,,,,,,,,,,,,,,,,,,0,2068,0,5339,0,227,0,0,0,2811,0,0,0,0,0,233,0,0,,,,
410748,,,,,,,,,,,,,,,,,,,,641,0,3537,,54,,,,1352,,,,,0,1490,0,0,,,,
410917,,,,,,,,,,,,,,,,,,,0,726,0,3910,537,592,0,0,0,2592,0,0,0,0,0,0,0,0,,,,
411062,,,,,,,,,,,,,,,,,,,0,305,0,2057,0,534,386,0,0,1218,0,0,0,0,0,0,0,0,Prepaid pension,,,
411174,,,,,,,,,,,,,,,,,,,0,141,64,373,0,53,0,0,0,115,0,0,0,0,0,0,0,0,,,,
411231,,,,,,,,,,,,,,,,,,,0,76,1080,1930,193,237,0,0,0,537,0,0,0,0,0,0,0,0,,,,
411240,,,,,,,,,,,,,,,,,,,0,227,0,938,46,288,224,18,0,423,0,0,0,0,0,0,0,0,ACC INTEREST ON INVEST & EXEMPT,EFT SETTLEMENT RESERVE,,
411549,,,,,,,,,,,,,,,,,,,0,113,0,667,0,3,0,0,0,551,0,0,0,0,0,0,0,0,,,,
411576,,,,,,,,,,,,,,,,,,,,217,79,2602,104,356,,,,183,,,,,0,1767,0,0,,,,
411624,,,,,,,,,,,,,,,,,,,,1116,0,4425,110,819,128,,,2490,472,,,,0,0,0,0,Accrued Late Charges,,,
411651,,,,,,,,,,,,,,,,,,,0,346,373,7981,337,3983,0,0,0,3279,0,0,0,0,0,0,0,0,,,,
412153,,,,,,,,,,,,,,,,,,,0,893,0,5277,533,618,0,0,0,3766,0,0,0,0,0,0,0,0,,,,
412452,,,,,,,,,,,,,,,,,,,0,0,0,1390,0,0,0,0,0,763,0,0,0,0,0,627,0,0,,,,
412555,,,,,,,,,,,,,,,,,,,0,3674,397,11846,90,526,0,0,0,4613,0,0,0,0,0,2636,0,0,,,,
412667,,,,,,,,,,,,,,,,,,,0,877,0,9417,273,319,6,0,0,3109,0,0,0,0,0,5112,0,0,DEBIT CARD CLEARING,,,
412751,,,,,,,,,,,,,,,,,,,,110291,0,377763,19740,55801,,,,49693,,,28829,,0,154426,0,7552,,,,
412845,,,,,,,,,,,,,,,,,,,11,497,2043,7385,416,513,0,0,0,4332,0,0,0,0,0,0,0,0,,,,
412872,,,,,,,,,,,,,,,,,,,0,991,2404,6466,0,280,0,0,0,654,0,0,0,0,0,0,0,2137,,,,
413141,,,,,,,,,,,,,,,,,,,,91955,16935,157285,16643,18917,,,,29478,,,,,0,0,0,0,,,,
413208,0,686249,1529344,5892317,0,2935553,967181,0,0,527795,0,0,0,0,0,3231,210145,0,,686249,,,,,,,,,,,,,,,,,Miscellaneous Assets,,,
413347,,,,,,,,,,,,,,,,,,,0,80,0,1016,481,481,0,0,0,455,0,0,0,0,0,0,0,0,FHLB Capital Stock,,,
413543,,,,,,,,,,,,,,,,,,,0,211,179,2854,163,167,0,0,0,2297,0,0,0,0,0,0,0,0,,,,
413646,,,,,,,,,,,,,,,,,,,43,4574,1382,25971,1009,1410,0,0,0,5414,0,0,71,0,0,11730,0,1461,,,,
413673,,,,,,,,,,,,,,,,,,,0,911,1903,4242,166,266,0,0,0,568,0,0,0,0,0,594,0,0,,,,
413758,,,,,,,,,,,,,,,,,,,0,348,0,3345,262,262,0,0,0,2735,0,0,0,0,0,0,0,0,,,,
414102,,,,,,,,,,,,,,,,,,,0,444,741,20218,534,3464,2929,0,0,1624,0,0,0,0,0,11134,0,2811,OTHER ASSETS,,,
414652,,,,,,,,,,,,,,,,,,,0,1583,1178,8516,159,682,3,74,0,1836,0,8,114,0,0,3237,0,0,MPF SERVICING FEES,OTHER ASSETS,,
414764,,,,,,,,,,,,,,,,,,,0,3078,0,11649,990,1036,0,0,0,4422,0,0,0,0,1,3112,0,0,,,,
414858,,,,,,,,,,,,,,,,,,,0,1575,1785,8730,138,159,0,0,0,2116,0,0,0,0,0,3095,0,0,,,,
416245,,,,,,,,,,,,,,,,,,,,139276,97130,539457,,69789,,,,49155,35106,,15465,,0,150426,13244,20437,,,,
416272,,,,,,,,,,,,,,,,,,,0,547,648,4548,192,192,0,0,0,506,0,0,0,0,0,2655,0,0,,,,
416339,,,,,,,,,,,,,,,,,,,0,136,0,3340,0,95,0,0,0,1428,0,0,0,0,0,1681,0,0,,,,
416357,,,,,,,,,,,,,,,,,,,0,0,0,1374,0,171,0,0,0,1203,0,0,0,0,0,0,0,0,,,,
416656,,,,,,,,,,,,,,,,,,,0,2789,0,15775,580,611,0,0,0,3895,0,0,0,0,0,8480,0,0,,,,
416674,,,,,,,,,,,,,,,,,,,0,469,3357,10685,0,1139,393,354,0,2606,0,0,0,0,0,3114,0,0,Travelers Express,Prepaid Contracts,,
417626,,,,,,,,,,,,,,,,,,,0,833,3672,8666,1986,2455,0,0,390,1706,0,0,0,0,0,0,0,0,Receivable - Income Tax - Federal,Receivable - Income Tax - State,Employee Retention Tax Credit - Receivable,
417710,,,,,,,,,,,,,,,,,,,0,445,327,1243,0,69,0,0,0,402,0,0,0,0,0,0,0,0,,,,
418100,,,,,,,,,,,,,,,,,,,0,342,1226,4388,681,1002,0,0,0,1818,0,0,191,0,0,0,0,0,,,,
418249,,,,,,,,,,,,,,,,,,,0,3637,11747,66598,1274,1313,0,0,0,12169,0,0,0,0,0,37732,0,0,,,,
418436,,,,,,,,,,,,,,,,,,,0,0,0,182,19,19,0,0,0,163,0,0,0,0,0,0,0,0,,,,
418856,,,,,,,,,,,,,,,,,,,0,115,394,802,21,46,0,0,0,247,0,0,0,0,0,0,0,0,Fiserv EFT Reserve,,,
419406,,,,,,,,,,,,,,,,,,,,45324,56495,356019,,99507,,,,18388,34211,,,,0,106501,0,29804,,,,
419460,,,,,,,,,,,,,,,,,,,0,1287,330,7474,1065,1643,0,0,0,1113,0,0,0,0,0,1795,0,1306,,,,
419675,,,,,,,,,,,,,,,,,,,0,13907,15826,44966,2832,5647,0,0,0,6105,0,0,0,0,0,3481,0,0,,,,
419947,,,,,,,,,,,,,,,,,,,0,0,0,450,0,48,0,0,0,402,0,0,0,0,0,0,0,0,,,,
420578,,,,,,,,,,,,,,,,,,,0,1919,1473,18988,562,615,0,0,0,729,0,0,0,0,0,14252,0,0,,,,
420644,,,,,,,,,,,,,,,,,,,0,1826,2211,12732,133,471,0,0,0,1477,0,0,203,0,0,6747,0,0,,,,
420877,,,,,,,,,,,,,,,,,,,0,457,1495,2856,198,225,0,0,0,679,0,0,0,0,0,0,0,0,,,,
421445,,,,,,,,,,,,,,,,,,,0,793,0,2934,0,228,0,0,0,1913,0,0,0,0,0,0,0,0,,,,
421539,,,,,,,,,,,,,,,,,,,0,193,1709,5606,326,704,0,0,0,765,0,0,268,0,0,2235,0,0,,,,
422059,,,,,,,,,,,,,,,,,,,,411,0,1153,139,321,178,,,421,,,,,0,0,0,0,Employee Retention Credit,,,
422116,,,,,,,,,,,,,,,,,,,3,229,222,3673,118,121,0,0,0,432,0,0,0,0,0,1697,71,901,,,,
422433,,,,,,,,,,,,,,,,,,,286,12250,8141,64173,2766,19710,1017,,,18137,,,,,0,3693,0,2242,Other Receivables,,,
422657,,,,,,,,,,,,,,,,,,,0,379,0,2257,94,377,0,0,0,1501,0,264,0,0,0,0,0,0,,,,
423159,,,,,,,,,,,,,,,,,,,47,469,552,3697,227,557,283,0,0,2119,0,0,0,0,0,0,0,0,NSF Checks,,,
423449,,,,,,,,,,,,,,,,,,,0,4531,7684,44079,0,8104,2333,0,0,4577,0,0,0,0,0,19183,0,0,Tax Credit Investments,,,
423636,,,,,,,,,,,,,,,,,,,0,127,944,4251,201,223,0,0,0,501,0,0,0,0,0,2456,0,0,,,,
423739,,,,,,,,,,,,,,,,,,,0,4528,3654,44424,1385,14793,0,0,0,6533,0,0,0,0,0,14916,0,0,,,,
424156,,,,,,,,,,,,,,,,,,,0,1296,176,7073,199,219,0,0,0,2868,0,0,0,0,0,2514,0,0,,,,
424240,,,,,,,,,,,,,,,,,,,0,495,0,3103,0,149,0,0,0,2459,0,0,0,0,0,0,0,0,,,,
424352,,,,,,,,,,,,,,,,,,,0,1510,0,8356,686,706,0,0,0,1521,0,0,0,0,0,4619,0,0,,,,
424437,,,,,,,,,,,,,,,,,,,,0,0,264,14,14,,,,250,,,,,0,0,0,0,,,,
425050,,,,,,,,,,,,,,,,,,,0,196,321,1019,60,60,0,0,0,442,0,0,0,0,0,0,0,0,,,,
425108,,,,,,,,,,,,,,,,,,,0,2574,2838,14717,0,3610,1108,0,0,1889,0,0,0,0,0,3806,0,0,DEFERRED FEES,,,
425818,,,,,,,,,,,,,,,,,,,0,519,24,11286,867,1359,0,0,0,1663,0,0,412,0,0,7721,0,0,,,,
425845,,,,,,,,,,,,,,,,,,,0,3668,0,11304,0,605,577,0,0,7031,0,0,0,0,0,0,0,0,Deferred Comp,,,
425911,,,,,,,,,,,,,,,,,,,0,8640,9360,67275,4622,5659,0,0,0,8096,0,830,0,0,0,35520,0,0,,,,
426057,,,,,,,,,,,,,,,,,,,0,109,0,725,213,213,0,0,0,403,0,0,0,0,0,0,0,0,,,,
426141,,,,,,,,,,,,,,,,,,,0,30,182,532,18,48,21,0,0,272,0,0,0,0,0,0,0,0,Income Taxes Overpaid,,,
426534,,,,,,,,,,,,,,,,,,,,7499,29133,113279,,30078,,,,22334,,,10776,,0,22121,0,2114,,,,
426758,,,,,,,,,,,,,,,,,,,0,682,736,5353,147,248,0,0,0,1139,0,0,0,0,0,1124,0,1424,,,,
426945,,,,,,,,,,,,,,,,,,,0,514,996,2585,163,164,0,0,0,911,0,0,0,0,0,0,0,0,0,,,
427241,,,,,,,,,,,,,,,,,,,0,2436,5443,18802,1044,1060,0,0,0,2188,0,0,0,0,0,7675,0,0,,,,
427353,,,,,,,,,,,,,,,,,,,0,693,3663,21472,1895,4258,0,0,0,4667,0,0,0,0,0,8191,0,0,,,,
427858,,,,,,,,,,,,,,,,,,,0,284,580,1619,366,366,0,0,0,389,0,0,0,0,0,0,0,0,,,,
427960,,,,,,,,,,,,,,,,,,,0,0,0,990,200,200,0,0,0,790,0,0,0,0,0,0,0,0,,,,
428060,,,,,,,,,,,,,,,,,,,0,2477,0,7820,976,1108,0,0,0,4235,0,0,0,0,0,0,0,0,,,,
428462,,,,,,,,,,,,,,,,,,,0,1125,1385,12156,460,803,0,0,0,2410,0,0,0,0,0,4880,0,1553,,,,
428547,,,,,,,,,,,,,,,,,,,,11910,817,62394,,22498,16934,,,17630,,,,,0,9539,0,0,Operating Lease Equipment,,,
428855,,,,,,,,,,,,,,,,,,,14,1047,2254,5530,379,895,502,0,0,1334,0,0,0,0,0,0,0,0,misc,,,
429021,,,,,,,,,,,,,,,,,,,0,521,8824,28945,406,1444,613,0,0,2280,0,0,0,0,0,14357,0,1519,unposted loan debits,,,
429487,,,,,,,,,,,,,,,,,,,0,2406,1621,34389,3730,4777,0,0,0,3413,0,0,577,0,0,16179,0,5993,,,,
430036,,,,,,,,,,,,,,,,,,,,1411,521,12396,201,824,,,,2013,,415,,,0,7627,0,0,,,,
430054,,,,,,,,,,,,,,,,,,,0,506,0,3491,142,152,0,0,0,686,0,0,0,0,0,2147,0,0,,,,
430344,,,,,,,,,,,,,,,,,,,0,2240,0,8756,72,171,98,0,0,2683,0,0,0,0,0,3662,0,0,RESERVE FOR STATE INCOME TAX,,,
431172,,,,,,,,,,,,,,,,,,,,175176,106905,1029136,,199732,81885,,,69629,,,,,0,457264,5528,14902,Low income housing tax credit fund,,,
431323,,,,,,,,,,,,,,,,,,,0,209,1051,5839,377,412,0,0,0,604,0,0,0,0,0,3563,0,0,,,,
431350,,,,,,,,,,,,,,,,,,,0,370,302,2758,158,158,0,0,0,840,0,0,0,0,0,1088,0,0,,,,
432058,,,,,,,,,,,,,,,,,,,,809,2,4021,351,356,,,,1201,,3,,,0,1653,0,0,,,,
432432,,,,,,,,,,,,,,,,,,,0,448,2495,8782,213,399,0,0,0,1793,0,177,0,0,0,6,2278,1363,,,,
433505,,,,,,,,,,,,,,,,,,,,8183,0,58502,29414,30670,,,,6612,7,,163,,0,13037,0,0,,,,
433550,,,,,,,,,,,,,,,,,,,0,244,4238,11700,235,299,0,0,0,1975,0,0,0,0,0,0,0,4944,,,,
433608,,,,,,,,,,,,,,,,,,,,41382,55655,250455,20209,51112,,,,29625,,,23570,,0,72681,0,0,,,,
433859,,,,,,,,,,,,,,,,,,,0,483,0,5668,7,7,0,0,0,1446,0,0,0,0,0,3732,0,0,Prepaid Expenses,Federal Income Tax,Colo State Income Tax,
433943,,,,,,,,,,,,,,,,,,,0,1659,6952,33627,697,10769,0,0,0,5690,10071,0,0,0,0,8557,0,0,Income taxes receivable,,,
434203,,,,,,,,,,,,,,,,,,,,645,5622,27830,1241,3301,1168,,,2147,,,,,0,15928,0,187,Deferred accrued interest receivable,,,
434539,,,,,,,,,,,,,,,,,,,0,221,3838,12077,516,596,0,0,0,1467,0,0,0,0,0,5955,0,0,,,,
435059,,,,,,,,,,,,,,,,,,,0,1202,0,6822,191,232,0,0,0,1454,0,0,0,0,0,3934,0,0,,,,
435077,,,,,,,,,,,,,,,,,,,,33476,70443,505904,,268902,209544,,,31755,,,,,0,90530,0,10798,Rental Equipment,,,
435255,,,,,,,,,,,,,,,,,,,0,2411,0,7853,161,375,0,0,0,5067,0,0,0,0,0,0,0,0,,,,
435666,,,,,,,,,,,,,,,,,,,0,131,90,3048,148,148,0,0,0,533,0,0,0,0,0,2146,0,0,,,,
435750,,,,,,,,,,,,,,,,,,,,6259,16823,53323,4036,7822,,,,7356,,,,,0,15063,0,0,,,,
436159,,,,,,,,,,,,,,,,,,,,55376,30581,350442,,139774,,,,52781,36995,,,,0,60965,3065,7900,Cash pledged as collateral on derivatives,,,
436542,,,,,,,,,,,,,,,,,,,0,1396,164,8852,15,112,0,0,0,3093,0,0,0,0,0,4087,0,0,,,,
436739,,,,,,,,,,,,,,,,,,,0,819,0,6526,0,2526,975,0,0,801,0,0,800,0,0,796,0,1584,A/R Earned Trust Fees,,,
436953,,,,,,,,,,,,,,,,,,,0,4585,2402,28220,606,3766,1416,0,0,3795,0,86,0,0,0,13672,0,0,Historical Tax Credit,,,
437044,,,,,,,,,,,,,,,,,,,0,48,1204,1877,0,27,0,0,0,598,0,0,0,0,0,0,0,0,,,,
437914,,,,,,,,,,,,,,,,,,,,17490,248845,772613,,381310,,,,88878,175078,,,,0,26698,9011,381,,,,
439132,,,,,,,,,,,,,,,,,,,,336,3797,15497,728,728,,,,2353,,,,,0,5600,0,2683,,,,
439338,,,,,,,,,,,,,,,,,,,,7238,14155,86927,2440,4991,,,,18930,2137,,,,0,30292,0,11321,,,,
439356,,,,,,,,,,,,,,,,,,,0,5819,2427,43741,1204,6164,2000,0,0,13247,0,0,0,0,0,16084,0,0,MHEG FUND 56 LIHTC,,,
