"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1403	RCFD1406	RCFD1407	RCFD1583	RCFD1594	RCFD1597	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFDHK26	RCFDHK27	RCFDHK28	RCFDK036	RCFDK037	RCFDK038	RCFDK039	RCFDK040	RCFDK041	RCFDK042	RCFDK043	RCFDK044	RCFDK102	RCFDK103	RCFDK104	RCFDK120	RCFDK121	RCFDK122	RCFDK123	RCFDK124	RCFDK125	RCFDK126	RCFDK127	RCFDK128	RCFDK138	RCFDK139	RCFDK140	RCFDK213	RCFDK214	RCFDK215	RCFDK216	RCFDK217	RCFDK218	RCFDK274	RCFDK275	RCFDK276	RCFDK277	RCFDK278	RCFDK279	RCFDK280	RCFDK281	RCFDK282	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1403	RCON1406	RCON1407	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3505	RCON3506	RCON3507	RCON5380	RCON5381	RCON5382	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	RCONF661	RCONF662	RCONF663	RCONHK26	RCONHK27	RCONHK28	RCONK036	RCONK037	RCONK038	RCONK039	RCONK040	RCONK041	RCONK042	RCONK043	RCONK044	RCONK102	RCONK103	RCONK104	RCONK105	RCONK106	RCONK107	RCONK108	RCONK109	RCONK110	RCONK111	RCONK112	RCONK113	RCONK114	RCONK115	RCONK116	RCONK117	RCONK118	RCONK119	RCONK120	RCONK121	RCONK122	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	
382649																																																																																															0	0	0							10731	1564	689	0	0	0	300	0	386	0	0	0	0	0	3686	0	0	0				30	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3465	35	805	527	0	9	0	0	1064	0				0	0	0	0	0	0	0	45	130	0	693	2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
382658																																																																																															0	0	0							61	1359	770	11	236	384	428	358	0	387	0	0	0	0	0	0	0	0				0	0	0	236	384	11	0	0	0	0	0	0	0	0	0	0	48	0	304	28	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
382742																																																																																															0	0	0							2019	211	0				84	0	1848	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	127	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	63	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
382854																																																																																															0	0	0							683	858	186				0	0	13	0	0	0	0	0	0	0	0	0				0	0	0	150	155	60	0	0	0	0	0	0	0	0	0	0	459	83	498	0	0	0	0	0	369	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				139	0	68	71	31	0	0	0	0	0	0	0	0	0	0	0	0	0	
384018																																																																																															0	0	0							6530	721	0	0	0	0	721	0	343	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	0	0	0	0	0	110	0				0	0	0	0	0	0	0	0	0	0	5457	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	
384278																																																																																															0	0	0	0	0	0	0	0	0	8189	25952	37443	0	0	0	142	0	2165	0	0	0	0	0	267	0	0	0	0	0	0	749	0	82	0	0	0	0	0	0	0	0	59	0	0	0	0	1830	1	17690	35009	286	58	0	0	7181	0	0	0	0	2535	238	0	0	1487	156	381	0	0	0	1553	296	0	0	0	0	0	1052	18117	37159	0	4128	4661	0	13929	32452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3916	2376	293	0	0	393	0	0	0	0	0	0	0	0	0	
384353																																																																																															0	0	0							0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
384652																																																																																															0	0	0							32	1769	0	0	0	0	85	0	32	0	0	0	1684	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
384830																																																																																															0	0	0							3578	636	0				0	0	2387	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	6	0	0	0	0	0	3314	0				0	577	0	0	0	8	53	0	0	0	103	926	0	0	59	0	0	162	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0							0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
385350																																																																																															0	0	0							227	782	0				0	0	0	0	0	0	0	0	0	0	0	0				157	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	530	0	0	0	0	0	13	0				0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
385471																																																																																															0	0	0							826	1073	0	0	0	0	119	0	0	179	0	598	0	0	0	0	0	0				0	0	0	60	0	40	0	0	0	0	0	0	0	0	0	0	159	0	573	0	14	0	0	0	310	0				0	0	0	0	0	0	65	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	14	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
385547																																																																																															0	0	0							1452	3617	0	0	0	0	405	0	178	287	0	253	0	0	0	0	0	0				0	0	0	468	0	9	0	0	0	0	0	0	0	0	0	0	389	263	1103	0	39	0	0	0	656	0				0	0	0	0	0	0	1040	0	0	0	334	0	112	0	83	259	0	180	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							147	0	97	147	0	97	0	0	0	133	0	9	142	0	17	0	0	0	0	0	0	0	0	0	0	0	0	
385686																																																																																															0	0	0							505	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	41	3	0	0	450	0	0	505	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	11	0	0	41	0	0	3							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
386432																																																																																															0	0	0							393	1050	69				156	0	0	0	0	0	0	0	0	0	0	0				0	0	0	170	4	34	0	0	0	0	0	0	0	0	0	0	253	0	668	52	2	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0							0	0	0	0	0	0				54	0	36	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	
386450																																																																																															0	0	0	0	0	0	0	0	0	0	20	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
386731																																																																																															0	0	0							798	2440	23	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0				0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	486	0	1299	11	0	0	0	0	429	0				143	338	0	0	0	0	50	0	0	0	0	0	129	0	100	448	0	156	0	0	0	0	0	0	0	0	0		0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0							0	0	56	0	0	0	0	0	0	415	0	121	101	12	122	0	0	0	0	0	0	0	0	28	0	0	28	
386825																																																																																															0	0	0							0	502	58				0	0	0	21	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	38	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				5	19	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
387055																																																																																															0	0	0							280	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
387671																																																																																															1190	589	3015							11047	3888	617	0	0	0	1830	28	5166	0	0	0	0	0	176	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4490	0				0	149	0	0	0	0	500	213	0	0	0	2684	0	0	0	0	0	2860	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	2684							0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
388155																																																																																															0	0	0							4155	2739	0				0	0	121	0	0	0	0	0	3182	0	0	0				0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	497	0	447	0	0	0	0	0	3211	0				0	1600	0	0	0	0	519	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				89	0	36	57	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
388258																																																																																															0	0	0							53	27	9	22	5	0	14	0	18	0	0	0	0	0	0	0	0	0				0	0	0	5	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	8	6	1	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	
388557																																																																																															0	0	0							69	97	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0				0	0	0	60	0	21	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	17	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	
388744																																																																																															0	0	0							338	1007	2				7	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	185	0	581	0	0	0	0	0	112	112				385	0	0	0	0	0	7	0	0	0	153	0	70	0	0	70	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
388753																																																																																															0	0	0							457	1176	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0				0	1172	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
388874																																																																																															0	0	0							115	48	0				0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	48	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
389358																																																																																															0	0	0							5042	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	4960	0				0	0	0	0	0	0	0	0	0	0	0	4948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	36	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
389376																																																																																															0	0	0							50	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	17	4	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
389826																																																																																															0	0	0							335	197	30				0	0	187	0	0	0	0	0	0	0	0	0				0	30	43	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	53	0	0	0	0	0	43	0				0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
390372																																																																																															0	0	0							4068	3291	159	0	0	0	0	0	0	0	0	0	0	0	2645	0	0	0				701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1423	0	2590	159	0	0	0	0	231	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	2715	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	2645	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
390840																																																																																															0	0	0							220	44	1724	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	27	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	1697	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	
391418																																																																																															0	0	0							25785	829	275				20	0	0	0	0	0	0	0	0	0	0	0				0	0	0	539	217	25584	0	0	0	0	0	0	0	0	0	0	65	0	182	58	0	0	0	0	0	0				0	0	0	0	0	0	10	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	3	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
391557																																																																																															0	0	0							1669	367	0	0	0	0	94	0	509	0	0	494	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	149	0	0	0	0	0	274	349				0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	33	0	0	91	0	245	0	0	0	0	0	0	0	0	0	0	0	0	
391575	1011	0	699	2153	0	25	0	0	0	3353	6711	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	75	0	0	0	0	0	0	0	0	0	0	0	1011	0	699																			0	0	0	0	0	0							270	0	0														1721	58	2974	74	35	0								0	0	0	0	0	112	52	123	0	0	738	0	0	0	365																0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0																						
391959																																																																																															0	0	0							434	293	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	369	0				0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
391977																																																																																															0	0	0							681	789	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	57	784	0	0	0	0	0	128	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	250	0	0	0	0	0	0	0	0	0	
392152																																																																																															0	0	0							360	1542	209				58	0	0	0	0	0	0	0	0	0	0	0				0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	360	0	1086	209	0	0	0	0	0	0				187	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
392255																																																																																															0	0	0							512	909	0	0	17	0	57	0	51	286	0	0	0	0	0	0	0	0				0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	32	18				0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							7	0	0	0	0	0	0	0	0	100	0	0	68	0	0	0	0	0	0	0	0	0	0	0	7	0	0	
392778																																																																																															0	0	0							85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	124	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
393252																																																																																															0	0	0							149	565	613	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0				0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0				0	551	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
393355																																																																																															0	0	0							3	453	101				6	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	5	0				0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
393953																																																																																															0	0	0							785	1377	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0				300	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	528	21	730	0	0	0	0	0	0	0				0	69	0	0	0	232	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	2	0	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
394156																																																																																															0	0	0							5047	2151	50	57	412	0	400	50	953	1299	0	4023	0	0	0	0	0	0				0	0	0	412	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	1343	0	2073	1209	0	1642	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	818	0	0	761	0	0	57	22	0	0	18	0	14	0	0	0	0	0	0	0	0	0	0	0	0	
394259																																																																																															0	0	0	0	0	0	0	0	0	371	5239	0	228	609	0	2039	0	41	66	0	81	0	0	0	0	0	0	0	0	0	19	0	0	655	0	228	0	0	0	0	0	0	0	0	0	0	4	0	57	0	25	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2234	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	65	0	7	0	0	0	0	0	0	0	0	0	0	0	0	
395238																																																																																															0	0	0	0	0	0	0	0	0	256106	125299	4460	273	0	0	7869	2469	127045	0	0	3643	0	0	1718	0	0	0	0	0	0	10108	33	14947	712	0	303	0	0	6	1665	1806	0	0	0	0	0	51371	898	7052	0	429	0	0	0	213429	27475	0	0	0	0	1989	0	0	311	4373	4523	79463	0	131	11067	34363	0	0	1622	1778	0	6632	0	0	759	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	260	250	0	0	963	0	4418	0	0	0	248	0	332	0	0	0	0	0	0	4454	0	2426	7035	21	3641	963	0	4418	0	0	0	161	0	0	87	0	0	
396057																																																																																															0	0	0							0	392	31	0	302	31	42	0	0	47	0	0	0	0	0	0	0	0				0	0	0	302	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
396244																																																																																															0	0	0	0	0	0	0	0	0	13	1761	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	205	0	0	0	0	0	0	0	0	0	0	322	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
396253																																																																																															0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
396954																																																																																															0	0	0							0	3640	99	0	0	0	45	0	0	582	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	98	0	0	0	0	0	0				0	0	0	0	0	0	2694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	91	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
397456																																																																																															0	0	0							725	2151	0				428	0	221	0	0	0	0	0	0	0	0	0				0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	725	0				0	0	0	0	0	504	1603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
397531																																																																																															0	0	0							175	2413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	2413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
